Source	Target	Weight
12hpf:hatching gland	16hpf:hindbrain dorsal	0
12hpf:hindbrain	16hpf:hindbrain dorsal	0.398439937597504
12hpf:mesoderm adaxial cells	16hpf:hindbrain dorsal	0
12hpf:mesoderm lateral plate	16hpf:hindbrain dorsal	0
12hpf:mesoderm lateral plate (fli1a+)	16hpf:hindbrain dorsal	0.00093603744149766
12hpf:mesoderm lateral plate (tbx1+)	16hpf:hindbrain dorsal	0
12hpf:midbrain	16hpf:hindbrain dorsal	0.0767550702028081
12hpf:neural anterior	16hpf:hindbrain dorsal	0.00218408736349454
12hpf:neural crest	16hpf:hindbrain dorsal	0.0280811232449298
12hpf:neural plate anterior	16hpf:hindbrain dorsal	0.00249609984399376
12hpf:neural plate posterior	16hpf:hindbrain dorsal	0.414352574102964
12hpf:notochord	16hpf:hindbrain dorsal	0
12hpf:periderm	16hpf:hindbrain dorsal	0.00343213728549142
12hpf:spinal cord	16hpf:hindbrain dorsal	0.0106084243369735
12hpf:tailbud mesoderm	16hpf:hindbrain dorsal	0
12hpf:telencephalon	16hpf:hindbrain dorsal	0
12hpf:anterior neural ridge	16hpf:hindbrain ventral	0.00169971671388102
12hpf:diencephalon	16hpf:hindbrain ventral	0
12hpf:diencephalon (aplnr2+)	16hpf:hindbrain ventral	0.000188857412653447
12hpf:differentiating neurons	16hpf:hindbrain ventral	0.010576015108593
12hpf:endoderm	16hpf:hindbrain ventral	0
12hpf:endothelial	16hpf:hindbrain ventral	0
12hpf:epidermal	16hpf:hindbrain ventral	0.0147308781869688
12hpf:epidermal (foxi3a+)	16hpf:hindbrain ventral	0
12hpf:epidermal (gbx2+)	16hpf:hindbrain ventral	0.00717658168083097
12hpf:hatching gland	16hpf:hindbrain ventral	0
12hpf:hindbrain	16hpf:hindbrain ventral	0.408876298394712
12hpf:mesoderm adaxial cells	16hpf:hindbrain ventral	0
12hpf:mesoderm lateral plate	16hpf:hindbrain ventral	0
12hpf:mesoderm lateral plate (fli1a+)	16hpf:hindbrain ventral	0.00547686496694995
12hpf:mesoderm lateral plate (tbx1+)	16hpf:hindbrain ventral	0
12hpf:midbrain	16hpf:hindbrain ventral	0.0568460812086874
12hpf:neural anterior	16hpf:hindbrain ventral	0.00679886685552408
12hpf:neural crest	16hpf:hindbrain ventral	0.00113314447592068
12hpf:neural plate anterior	16hpf:hindbrain ventral	0
12hpf:neural plate posterior	16hpf:hindbrain ventral	0.291595845136922
12hpf:notochord	16hpf:hindbrain ventral	0
12hpf:periderm	16hpf:hindbrain ventral	0.0147308781869688
12hpf:spinal cord	16hpf:hindbrain ventral	0.180169971671388
12hpf:tailbud mesoderm	16hpf:hindbrain ventral	0
12hpf:telencephalon	16hpf:hindbrain ventral	0
12hpf:anterior neural ridge	16hpf:lateral line primordium	0.341052631578947
12hpf:diencephalon	16hpf:lateral line primordium	0
12hpf:diencephalon (aplnr2+)	16hpf:lateral line primordium	0
12hpf:differentiating neurons	16hpf:lateral line primordium	0
